id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
24,GP004,ikan asin kering,DABM 1964,40,193,42,1.5,0,0,16.5,200,300,0,0,0,0,0,0,0,0,0.01,0,0,0,70,ikan kerang udang,olahan/produk,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/ikan-asinn.jpg
25,GR004,ikan bader segar,DABM- 1964,66,193,19,13,0,0,2,48,150,0.4,118,264.9,0.1,0.2,45,0,0,0.01,0.1,4.1,0,0,ikan kerang udang,single,https://3.bp.blogspot.com/-QIgcZ7K-sU4/XCHN03j4UGI/AAAAAAAAGjQ/Lmq-K-j5qQgIR-aSasCnx01eQ9bND4pfwCLcBGAs/s1600/ikan%2Btawes%2B1.jpg
26,GR005,ikan balong segar,KZGPI- 1990,76.5,107,16.5,3.9,1.5,0,1.5,54,202,2,86,253.4,0.5,1,25,0,0,0.05,0.1,2.5,0,0,ikan kerang udang,single,https://upload.wikimedia.org/wikipedia/commons/9/98/Maroon_Clown_Fish444.jpg
27,GR006,ikan bambangan segar,KZGPI- 1990,73.7,112,20,1.3,3.7,0,1.3,98,120,3,148,258.7,0,0.1,0,0,0,0.07,0,0.3,0,0,ikan kerang udang,single,https://workamerica.co/wp-content/uploads/2020/03/kakap-merah.jpg
28,GP005,ikan bandeng presto masakan,KZGPI 1990,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,0,0,0,0,6,0,400,0.14,0,0,69,100,ikan kerang udang,olahan/produk,https://www.philips.com/c-dam/b2c/id_ID/experience/ho/cooking/iikan-goreng-thumbnail.jpg
29,GR007,ikan bandeng segar,DABM- 1964,74,123,20,4.8,0,0,1.2,20,150,2,67,271.1,0,0.9,45,21,0,0.05,0.1,6,0,0,ikan kerang udang,single,https://images.tokopedia.net/blog-tokopedia-com/uploads/2021/08/Featured_Manfaat-Ikan-Bandeng.jpg
30,GR008,ikan banjar segar,KZGPI- 1990,73.5,111,19.4,0.9,4.8,0,1.4,68,278,7.3,99,338.7,0.2,0.6,0,62,0,0.03,0.2,7.3,0,0,ikan kerang udang,single,https://altarafish.com/wp-content/uploads/2019/02/kembung-banjar-2.jpg
31,GR009,ikan baronang segar,KZGMI-2001,80,78,14.5,0.6,3.7,0,1.2,26,521,3.8,26,692,4.7,4.1,732,0,0,0.2,0.04,3,0,0,ikan kerang udang,single,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/tangerangraya/2021/10/Baronang1.jpg
32,GR010,ikan batung segar,KZGMI-2001,75.7,115,14.5,4.6,4.2,0,1.1,0,207,0,42,361,0.2,0.9,0,0,0,1.2,0.04,1.1,0,0,ikan kerang udang,single,https://www.pustakadunia.com/media/posts/9/green-baung.jpg
33,GP006,ikan baung bakar,KZGMI 2001,69.8,144,17.8,5.8,5.2,0,1.4,18,169,0,168,236,0.1,0.7,0,0,0,0,0,1.3,0,0,ikan kerang udang,olahan/produk,https://dherdian.files.wordpress.com/2014/12/ikan-baung.jpg
34,GR011,ikan baung segar,KZGMI-2001,74.9,123,15.1,5.5,3.3,0,1.2,5,146,1.3,32,349,0.1,0.7,0,0,0,0.2,0.03,1.2,0,0,ikan kerang udang,single,https://www.pustakadunia.com/media/posts/9/green-baung.jpg
35,GR012,ikan bawal segar,DABM- 1964,78,91,19,1.7,0,0,1.3,20,150,2,129,233.3,0.1,0.3,45,0,0,0.05,0.1,1.8,0,0,ikan kerang udang,single,https://cdn0-production-images-kly.akamaized.net/C-d15AzyqyZ6g3FXgdgNiM0vT8w=/881x0:3882x3001/1200x1200/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3083206/original/068408300_1584935571-shutterstock_1543262462.jpg
36,GP007,ikan belida bakar,KZGMI2001,68.2,128,18,3,7.2,0,3.6,58,134,0,293,198,0.1,0.4,0,0,0,1.8,0.17,1.5,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535645437.JPG
37,GR013,ikan belida segar,KZGMI-2001,79.2,80,14.7,1.4,2.2,0,2.3,303,315,1.3,41,356,0,0.8,0,0,0,1.2,0.14,1.4,0,0,ikan kerang udang,single,https://asset.kompas.com/crops/1fAzPKIXKLg0zUIFq1noM_71D44=/73x0:916x562/750x500/data/photo/2021/09/07/6137430f50e33.jpg
38,GR014,ikan beunteur segar,DABM- 1964,70,109,17,4,0,0,9,500,500,1,109,323.5,0.6,1.3,45,0,0,0.05,0.1,2.6,0,0,ikan kerang udang,single,https://agrozine.id/wp-content/uploads/2022/10/Ikan-Wader.jpg
39,GR015,ikan biawan segar,KZGMI-2001,79.1,90,14.9,2.5,2.1,0,1.4,125,265,1,35,207,0.4,0.6,0,0,0,0.36,0.03,2.9,0,0,ikan kerang udang,single,https://panennews.com/wp-content/uploads/2020/06/Ikan-Biawan.jpg
40,GR016,ikan bili segar,KZGMI-2001,68.3,88,14.2,0.7,6.2,0,10.6,27,1760,1.5,217,202,0,4.1,0,0,0,0.72,0.09,2.7,0,0,ikan kerang udang,single,https://cdn.shopify.com/s/files/1/0592/8633/products/Ikan_Bilis.jpg?v=1523265834
41,GR017,ikan bubara segar,KZGMI-2001,75.5,100,14.7,2.4,4.9,0,1.6,90,90,0.4,390,390,0.7,0.8,0,0,0,0,0,0,0,0,ikan kerang udang,single,https://cdn.antaranews.com/cache/800x533/2021/09/17/IMG-20210917-WA0002_2.jpg
42,GR018,ikan bulan-bulan segar,KZGMI-2001,66.7,134,25.5,1.3,5,0,1.5,29,29,0.5,197,489,0.1,0.5,0,0,0,0.3,0.02,0.8,0,0,ikan kerang udang,single,https://upload.wikimedia.org/wikipedia/commons/1/1a/Megalops_cyprinoides2.jpg
43,GP008,ikan cakalang asap mentah,KZGMI2001,56.9,204,34.2,5.6,1.9,0,1.4,14,399,1.3,176,588,0.3,0.7,1546,0,0,0.53,0.07,0,0,70,ikan kerang udang,olahan/produk,https://jurnal6.com/wp-content/uploads/2021/11/received_532156504848726.jpeg
44,GP009,ikan cakalang asin mentah,KZGPI 1990,41.7,198,36.5,2.2,5.5,0,14.1,236,346,3.7,4304,302.1,0,0,0,0,0,0.06,0,0,0,70,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/7/7/76b181bf-a94c-4a34-a2b4-5e1c4ba01dc5.jpg
45,GR021,ikan cakalang hati segar,KZGMI-2001,76.3,116,11.2,1.2,10.2,0,1.1,10,40,3.4,360,250,0.5,1.9,908,0,0,0,0,0.1,0,0,ikan kerang udang,single,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/07/13/2233154868.jpg
46,GR019,ikan cakalang jantung segar,KZGMI-2001,73,107,19.6,0.7,5.5,0,1.2,23,242,2.9,66,239,0.2,0.6,386,0,0,0.17,0.05,21.7,0,0,ikan kerang udang,single,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/07/13/2233154868.jpg
47,GR020,ikan cakalang perut segar,KZGMI-2001,73.4,120,11.3,3.9,10,0,1.4,30,30,0.9,420,280,1.6,4.3,0,0,0,0,0,0.2,0,0,ikan kerang udang,single,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/07/13/2233154868.jpg
48,GR022,ikan cakalang segar,KZGMI-2001,79.1,86,10.2,1.1,8.7,0,0.9,20,110,2.1,230,210,0.3,9.3,0,0,0,0.24,0,0.3,0,0,ikan kerang udang,single,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/07/13/2233154868.jpg
49,GP010,ikan calo peda mentah,KZGPI 1990,71.3,81,11.4,1.9,3.8,0,11.6,743,174,22.6,0,0,0,0,15,0,0,0,0,0,0,100,ikan kerang udang,olahan/produk,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2021/11/22/2261616866.jpg
50,GR023,ikan daun segar,KZGMI-2001,78.6,101,11.5,4.1,4.6,0,1.2,80,210,0.8,120,270,0.1,0.9,0,0,0,0.08,0.07,0.1,0,0,ikan kerang udang,single,https://nilaigizi.com/assets/images/produk/produk_1535461660.jpg
51,GR024,ikan ekor kuning segar,KZGMI-2001,74.1,108,22.3,1.2,2.1,0,0.3,30,220,0.5,50,230,0.1,0.6,40,29,0,0,0.1,0.2,0,0,ikan kerang udang,single,https://id-live-01.slatic.net/p/a050c6abf2757b9dd5d9e179ac5f6f58.jpg
52,GP011,ikan gabus asap mentah,KZGMI2001,26.4,261,38.1,2.3,21.9,0,11.3,2510,1840,2.9,320,410,0.4,0.8,114,0,0,0.1,0.1,14.5,0,80,ikan kerang udang,olahan/produk,https://id-test-11.slatic.net/p/bb5a949dcbe534ed2ecdfd98a8e9c07b.jpg
53,GP012,ikan gabus kering,DABM 1964,24,268,58,4,0,0,14,15,100,0.1,0,0,0,0,30,0,0,0.1,0,0,0,80,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646586.jpg
54,GR025,ikan gabus segar,KZGMI-2001,79.6,80,16.2,0.5,2.6,0,1.1,170,139,0.1,65,254,0.3,0.4,335,0,0,0.4,0.2,0.1,0,0,ikan kerang udang,single,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/10/17/13ad7cdb-015a-4298-a4ef-f698a1143555.jpg
55,GP013,ikan gete goreng,KZGMI2001,44.7,267,23.1,19.4,0.2,0,12.6,2340,1240,0.8,590,440,0.1,1.9,0,0,0,0,0,0.2,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646628.jpg
56,GR026,ikan heu segar,KZGMI-2001,75.6,81,10,1.6,6.6,0,6.2,1910,990,2.1,240,210,0.1,2.7,0,0,0,0.87,0,0.2,0,0,ikan kerang udang,single,https://awsimages.detik.net.id/community/media/visual/2021/10/21/ilustrasi-ikan-hiu.jpeg?w=1200
57,GR027,ikan hitam segar,KZGMI-2001,78.2,101,10.3,3.7,6.7,0,1.1,50,140,0.4,70,210,0,0.4,67,0,0,0,0.1,0.1,0,0,ikan kerang udang,single,https://www.fishbase.se/images/species/Lachr_u2.jpg
58,GP014,ikan hiu kering,KZGMI2001,23.1,298,46.3,3.6,20.2,0,6.8,335,846,2.5,957,1457,0.5,2,661,0,0,0.84,0.11,22.5,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646676.jpg
59,GR028,ikan hiu segar,KZGPI- 1990,85.7,57,10.7,0.3,2.2,0,1.1,75,206,2,0,0,0.02,0,0,0,0,0.05,0,0,0,0,ikan kerang udang,single,https://awsimages.detik.net.id/community/media/visual/2021/10/21/ilustrasi-ikan-hiu.jpeg?w=1200
60,GR029,ikan kacangan segar,KZGPI- 1990,80.7,77,15.6,0.9,1.6,0,1.2,94,170,1.7,0,0,0,0,18,0,0,0.07,0,0,0,0,ikan kerang udang,single,https://gratisongkir-storage.com/products/900x900/GgmwAfyK453X.jpg
61,GR030,ikan kakap segar,DABM- 1964,77,92,20,0.7,0,0,2.3,20,200,1,0,0,0,0,9,0,0,0.05,0,0,0,0,ikan kerang udang,single,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/30105045/Tinggi-Protein-Ini-X-Manfaat-Ikan-Kakap-untuk-Kesehatan.jpg
62,GR031,ikan kakatua segar,KZGMI-2001,79.7,82,11.4,1.2,6.4,0,1.3,20,160,0.4,90,300,0.1,0.3,18,0,0,0,0,0.2,0,0,ikan kerang udang,single,https://jagalaut.id/wp-content/uploads/2022/05/IMG_3929.jpg
63,GR032,ikan kalaban segar,KZGMI-2001,80.3,77,16.4,0.7,1.3,0,1.3,182,248,0.9,40,334,0.7,0.8,0,0,0,0.16,0.15,1.9,0,0,ikan kerang udang,single,tidak ada
64,GR033,ikan kamera (kakap merah) segar,KZGMI-2001,78.5,86,19.7,0.8,0,0,1.3,50,170,0.3,90,290,0.3,0.1,26,0,0,0,0.08,0.1,0,0,ikan kerang udang,single,https://awsimages.detik.net.id/community/media/visual/2021/10/21/ilustrasi-ikan-hiu.jpeg?w=1200
65,GR034,ikan kapar segar,KZGMI-2001,74.2,132,17,6.7,0.8,0,1.3,151,272,1.2,78,229,0.9,0.7,0,0,0,0.07,0.03,0,0,0,ikan kerang udang,single,https://upload.wikimedia.org/wikipedia/commons/b/b0/Belont_hasselt_100523-1755_sap.JPG
66,GP015,ikan katombo asin,KZGPI 1990,44.7,162,31.7,2.8,0.3,0,15.5,279,609,4.6,4393,342.2,2.8,0,0,0,0,0.09,0,0,0,70,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/4e1636ada1bc35e0/1200x630cq70/photo.jpg
67,GR035,ikan kawalinya segar,KZGMI-2001,76.1,110,12.6,4.2,5.4,0,1.7,80,300,1.5,340,300,0.2,1.4,146,0,0,0,0,0.2,0,0,ikan kerang udang,single,https://assets.ayobandung.com/crop/0x0:0x0/x/photo/2022/03/18/236634727.png
68,GP016,ikan kayu kering,KZGMI2001,23.1,302,70.7,1.9,0.4,0,3.9,313,22,4.1,345,1045,0,1.8,0,0,0,1.4,0.04,20,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646769.jpg
69,GR036,ikan keru-keru segar,KZGPI- 1990,77.2,93,16.5,2.1,0.8,0,3.4,65,217,2.4,137,255.3,0.34,0.7,0,0,0,0.01,0.09,1.6,0,55,ikan kerang udang,single,tidak ada
70,GR037,ikan kima segar,KZGMI-2001,82.1,70,10.8,0.7,5.2,0,1.2,53,72,2,342,101,0.5,0.5,401,0,0,0.22,0.05,5.8,0,0,ikan kerang udang,single,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2022/01/19/kima-yic-artikel-by-tionjpg-20220119124005.jpg
71,GP017,ikan lais bakar,KZGMI2001,69.4,147,17.5,6.5,5.4,0,1.2,54,194,0.1,142,209,0,0.5,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://dotdolan.com/wp-content/uploads/2022/04/Olahan-Lais_IG-@rukurukuresto-e1649583973110.jpeg
72,GR038,ikan lais segar,KZGPI- 1990,65,161,11.9,11.5,2.4,0,9.2,70,237,0,0,0,0,0,0,0,0,0.05,0,0,0,62,ikan kerang udang,single,https://dotdolan.com/wp-content/uploads/2022/04/Olahan-Lais_IG-@rukurukuresto-e1649583973110.jpeg
73,GR039,ikan layang segar,DABM- 1964,74,109,22,1.7,0,0,2.3,50,150,2,0,0,0,0,45,0,0,0.05,0,0,0,80,ikan kerang udang,single,https://lintasbalikpapan.com/asset/foto_berita/Ikan_Layang_2.jpg
74,GR040,ikan layur segar,KZGPI- 1990,80.1,82,18,1,0.4,0,0.5,48,229,2.2,0,0,0,0,4,0,0,0.04,0,0,0,49,ikan kerang udang,single,https://ikanwiki.com/gambar/gambar_besar/ikanlay.webp
75,GR041,ikan lehoma segar,KZGMI-2001,77.6,90,20.4,0.9,0,0,1.1,88,270,0.7,56,281,0.3,0.9,1047,0,0,0.32,0.03,0.2,0,0,ikan kerang udang,single,https://2.bp.blogspot.com/-hcHeOSZ-k-M/VkNmXVXuJFI/AAAAAAAABPU/lU_LNkEOoHo/s1600/MAlalugis.jpg
76,GR042,ikan lemuru segar,DABM- 1964,76,112,20,3,0,0,1,20,100,1,0,0,0,0,30,0,0,0.05,0,0,0,80,ikan kerang udang,single,https://images.tokopedia.net/img/cache/700/product-1/2020/6/12/101531639/101531639_f8f0374d-3534-4642-84c3-530d9b1fb3f0_690_690.jpg
77,GR043,ikan lidah segar,KZGPI- 1990,78.3,104,15.6,3.2,2,0,0.9,30,143,2,0,0,0,0,33,0,0,0.03,0,0,0,0,ikan kerang udang,single,https://homemadeindonesia.com/apihmi/images/datatoko/K3DE232FF89_brg66792.jpg
78,GP018,ikan lomak asin mentah,KZGMI2001,21.6,258,40.3,2.3,18.9,0,16.9,140,279,2.3,6227,485.1,2.3,0,0,0,0,0.1,0.3,6,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/31/7abefabd-7a9c-4faa-91f8-6a17ff7d0616.jpg
79,GR044,ikan malalugis segar,KZGMI-2001,75.6,99,20.6,1.4,0.9,0,1.5,164,330,0.5,76,282,0.2,0.9,661,0,0,0.3,0.02,0.5,0,0,ikan kerang udang,single,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Decapterus_koheru_%28koheru%29.jpg/1200px-Decapterus_koheru_%28koheru%29.jpg
80,GR045,ikan mamar merah segar,KZGMI-2001,75,115,15.3,4,4.4,0,1.3,60,190,1.6,120,240,0.2,1,0,0,0,0.2,0.1,0.1,0,0,ikan kerang udang,single,tidak ada
81,GP019,ikan mas pepes,KZGPI 1990,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,0,315,0.13,0.1,2.4,0,100,ikan kerang udang,olahan/produk,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/01/06/1877204615.jpg
82,GR046,ikan mas segar,DABM- 1964,80,86,16,2,0,0,2,20,150,2,65,276.7,0.1,1.1,45,8,0,0.05,0.1,2.6,0,80,ikan kerang udang,single,https://static.republika.co.id/uploads/images/inpicture_slide/ikan-mas_220111065132-645.jpg
83,GR047,ikan mayong segar,KZGPI- 1990,78.2,97,17.9,2,0.4,0,1.5,40,100,2.5,0,0,0,0,21,0,0,0.1,0,0,0,89,ikan kerang udang,single,https://homemadeindonesia.com/apihmi/images/datatoko/K0B6216F87F_brg17106.jpg
84,GR048,ikan mujahir dendeng mentah,KZGPI- 1990,79.7,89,18.7,1,0,0,1.1,96,209,1.5,51,265.8,0,0.2,6,3,5,0.03,0.1,2,0,80,ikan kerang udang,single,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/5/21/38d1433b-a298-46d1-8f07-797840199762.jpg.webp
85,GP020,ikan mujahir goreng,KZGPI 1990,44.7,416,46.9,23.9,0,0,2.2,346,654,0.9,54,278.9,0,0.2,12,3,8,0.12,0.1,2.2,0,100,ikan kerang udang,olahan/produk,https://kurio-img.kurioapps.com/22/10/07/3521e216-d7b3-498d-a045-95973e196c36.jpg
86,GP021,ikan mujahir pepes,KZGPI 1990,73.7,121,21.7,2.8,0.8,0,1,83,248,1.6,58,265.8,0,0.3,8,0,6,0,0.1,1.9,0,100,ikan kerang udang,olahan/produk,https://sweetrip.id/wp-content/uploads/2022/10/a-pepeas.jpg
87,GP022,ikan mujahir segar,KZGPI 1990,15.2,582,68.3,15.2,37.2,0,14.1,3258,1699,4.3,0,0,0,0,15,0,20,0.27,0,0,0,100,ikan kerang udang,olahan/produk,https://s4.bukalapak.com/img/9282888648/large/1792856_scaled.jpg
88,GR049,ikan nasu metti segar,KZGMI-2001,65.3,154,16.8,5,10.5,0,2.4,80,244,1.6,421,488,0.2,1.2,0,0,0,0.47,0.15,9.6,0,0,ikan kerang udang,single,https://img-global.cpcdn.com/recipes/a9e68b1f59b7db4c/680x482cq70/ikan-kuah-kuning-nasu-bale-menre-bhs-bugis-foto-resep-utama.jpg
89,GR050,ikan oci kembung segar,KZGMI-2001,71.4,125,21.3,3.4,2.2,0,1.7,136,69,0.8,214,245,0.2,1.1,0,0,0,0.26,0.03,0.2,0,80,ikan kerang udang,single,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/10/17065323/Jarang-Disadari-Ini-X-Manfaat-Ikan-Kembung-bagi-Kesehatan.jpg
90,GP023,ikan papuyu bakar,KZGMI2001,66.6,152,17.6,6.1,6.7,0,3,244,227,3.4,320,224,0.2,1,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/c0df8c1401aba288/1200x630cq70/photo.jpg
91,GR052,ikan papuyu betok segar,KZGMI-2001,75,120,14.3,4.9,4.6,0,1.2,329,436,1.5,240,169,0.8,1.1,0,0,0,0,0.05,3.1,0,0,ikan kerang udang,single,tidak ada
